letter,xbox,ybox,width,height,onpix,xbar,ybar,x2bar,y2bar,xybar,x2ybar,xy2bar,xedge,xedgey,yedge,yedgex
A,20.0,22.0,28,30,407,0.009301509301509319,0.05585585585585591,49.203931203931205,69.25307125307125,0.7076167076167076,358.56511056511056,18.673218673218674,3.357142857142857,2100,2.7333333333333334,1956
B,22.0,22.0,24,30,507,-0.05793885601577905,0.006180144641683091,57.883629191321496,85.75542406311637,2.7435897435897436,32.337278106508876,-163.32347140039448,3.8333333333333335,2116,3.2666666666666666,2233
C,21.5,22.0,25,30,345,-0.06289855072463765,-0.012077294685990362,57.583333333333336,95.26086956521739,0.7666666666666667,-18.421014492753624,30.091304347826085,3.48,1996,3.033333333333333,2056
D,22.0,22.0,24,30,450,-0.05564814814814811,0.0,66.01555555555555,91.48444444444445,0.2,2.2,-224.49333333333334,4.041666666666667,2231,2.7666666666666666,1909
E,17.5,22.0,21,30,408,-0.08741830065359478,-0.00637254901960785,45.98529411764706,102.73039215686275,-0.41911764705882354,-4.802696078431373,-81.78186274509804,3.619047619047619,1748,3.3333333333333335,2473
F,19.5,22.0,19,30,316,-0.161892071952032,-0.09599156118143455,39.174050632911396,85.34810126582279,-8.639240506329115,-72.7136075949367,-215.22151898734177,4.0,1748,2.566666666666667,1827
G,22.5,22.0,27,30,449,0.013239297203662423,0.016629547141796527,70.8379732739421,85.52783964365256,6.1625835189309575,67.4075723830735,84.31180400890868,3.4444444444444446,2125,3.3666666666666667,2211
H,21.5,22.0,23,30,432,0.0,-0.004629629629629642,73.91666666666667,69.30555555555556,0.0,-1.6550925925925926,0.0,4.434782608695652,2341,2.3,1599
I,17.5,22.0,5,30,184,0.005434782608695343,0.0,2.880434782608696,78.42391304347827,0.0,0.0,6.114130434782608,15.2,1748,1.7,1200
J,17.0,22.0,18,30,250,0.16955555555555554,0.09359999999999999,36.74,89.256,-18.092,23.86,166.716,4.5,1823,2.1333333333333333,1567
K,23.0,22.0,26,30,441,-0.10701203558346414,-0.0012093726379440283,65.57142857142857,77.06122448979592,4.208616780045351,43.36507936507937,-78.73469387755102,3.9615384615384617,2367,2.7666666666666666,1794
L,20.0,22.0,20,30,261,-0.22413793103448273,0.12452107279693483,50.11494252873563,106.14942528735632,11.206896551724139,103.35249042145594,-280.17241379310343,3.8,1748,2.2,1560
M,24.0,22.0,28,30,623,0.009172208209126407,-0.007330123060460162,87.40288924558587,74.73033707865169,0.6918138041733547,-67.65168539325843,14.910112359550562,5.035714285714286,3162,2.466666666666667,1644
N,21.5,22.0,23,30,471,0.011400350780024004,-0.0038924274593064466,67.43046709129511,70.49893842887474,6.756900212314225,-7.481422505307855,17.860934182590235,5.043478260869565,2668,2.3,1599
O,22.0,22.0,28,30,444,-0.012950450450450417,0.0012012012012012482,78.51126126126127,85.93243243243244,0.0045045045045045045,1.0225225225225225,-39.513513513513516,3.4642857142857144,2231,3.033333333333333,2093
P,20.0,22.0,22,30,379,-0.11165747181578309,-0.10043975373790677,53.406332453825854,73.67282321899737,-9.443271767810026,-97.7915567282322,-251.15303430079155,3.8636363636363638,2009,2.6333333333333333,1885
Q,19.5,23.0,29,32,492,0.021026072329688804,0.005525914634146312,78.92886178861788,91.8678861788618,9.866869918699187,38.105182926829265,127.66768292682927,3.5172413793103448,2285,3.0625,2356
R,22.0,22.0,26,30,482,-0.07261410788381745,-0.033540802213001444,66.64315352697095,79.96058091286307,6.910788381742739,17.37136929460581,-120.62448132780084,3.730769230769231,2166,3.066666666666667,2073
S,20.0,22.0,24,30,414,0.01751207729468603,0.005797101449275388,42.15942028985507,86.6280193236715,4.927536231884058,39.47826086956522,16.541062801932366,3.5416666666666665,1949,3.5,2529
T,18.5,22.0,23,30,276,0.0,-0.14130434782608697,22.481884057971016,109.67391304347827,0.0,-266.7119565217391,0.0,3.3043478260869565,1748,2.3,1671
U,20.5,22.0,23,30,398,0.006772995411841852,0.029564489112227813,69.74748743718592,83.10804020100502,1.4334170854271358,-100.24057788944724,22.116834170854272,4.434782608695652,2411,2.3,1623
V,21.0,22.0,26,30,351,-0.008766162612316518,-0.0339031339031339,46.01709401709402,73.88319088319088,0.5641025641025641,-330.27920227920225,-18.125356125356124,3.769230769230769,2353,2.4,1683
